titel,sex,country 1,country 2,line of succession,interest 1,interest 2,interest 3,interest 4,religion,type,royalhouse,short
The Royal Society,,british,,,science and technology,,,,,1,,trs
The Institution of Engineering and Technology,,british,,,science and technology,,,,,1,,tioeat
Royal Astronomical Society,,british,,,science and technology,,,,,1,,raso
Royal Society of Chemistry,,british,,,science and technology,,,,,1,,rsoc
Association of Royal Yachtsmen,,british,,,social clubs ,,,,,1,,aory
The Union Jack Club,,british,,,social clubs ,,,,,1,,tujc
The British Medical Association,,british,,,professional institutions,healthcare medical and hospices,,,,1,,tbma
The Royal Pharmaceutical Society of Great Britain,,british,,,professional institutions,,,,,1,,trpsogb
Commonwealth Magistrates and Judges Association,,british,,,professional institutions,,,,,1,,cmaja
Chartered Institute of Library and Information Professionals ,,british,,,professional institutions,,,,,1,,cilip
National Churches Trust,,british,,,history and heritage,,,,,1,,nct
The Historical Association,,british,,,history and heritage,,,,,1,,tha
Theatre Royal Windsor Trust,,british,,,history and heritage,,,,,1,,trwt
British Olympic Association,,british,,,sport and recreation,,,,,1,,bca
The Royal Pigeon Racing Association,,british,,,sport and recreation,,,,,1,,trpra
The British Horse Society,,british,,,sport and recreation,,,,,1,,tbhs
Royal Yachting Association,,british,,,sport and recreation,,,,,1,,rya
Cancer Research UK,,british,,,healthcare medical and hospices,,,,,1,,cruk
New Zealand Medical Association,,new zealand,,,healthcare medical and hospices,,,,,1,,nzma
The Canadian Medical Association,,canadian,,,healthcare medical and hospices,,,,,1,,tcma
The Royal Society of Medicine,,british,,,healthcare medical and hospices,,,,,1,,trsom
Church Urban Fund,,british,,,faith,,,,anglican,1,,cuf
Seamens Christian Friend Society,,british,,,faith,,,,anglican,1,,scfs
The Council of Christians and Jews,,british,,,faith,,,,anglican and jewish,1,,tcocaj
YMCA England,,british,,,faith,,,,anglican,1,,ymca
Friends of Llandaff Cathedral,,british,,,built environment and architecture,,,,,1,,folc
Royal Architectural Institute of Canada,,canadian,,,built environment and architecture,,,,,1,,raioc
Royal Shakespeare Theatre,,british,,,built environment and architecture,,,,,1,,rst
Royal Australian Institute of Architects,,australian,,,built environment and architecture,,,,,1,,raioa
Royal Association of British Dairy Farmers,,british,,,business and industry,,,,,1,,raobdf
Royal Economic Society,,british,,,business and industry,,,,,1,,res
The British Chambers of Commerce,,british,,,business and industry,,,,,1,,tbcoc
The Royal Institute of International Affairs,,british,,,business and industry,,,,,1,,trioia
Franco British Society,,french,,,art and culture,,,,,1,,fbs
London Symphony Orchestra Ltd,,british,,,art and culture,,,,,1,,lso
Royal Academy of Dramatic Art,,british,,,art and culture,,,,,1,,raoda
Royal Institute of Painters in Watercolours,,british,,,art and culture,,,,,1,,riopiw
Army and Navy Club ,,british,,,armed services,,,,,1,,aanc
Irish Guards,,british,,,armed services,,,,,1,,ig
The Royal Air Forces Association,,british,,,armed services,,,,,1,,trafa
Royal Regiment of Artillery,,british,,,armed services,,,,,1,,rroa
Royal Society for the Prevention of Cruelty to Animals,,british,,,animals,,,,,1,,rsftpocta
Royal Windsor Horse Show,,british,,,animals,,,,,1,,rwhs
The Zoological Society of London,,british,,,animals,,,,,1,,tzsol
Dogs Trust,,british,,,animals,,,,,1,,dt
The Commonwealth Youth Exchange Council,,british,,,children and young people,,,,,1,,tcyec
Invalid Childrens Aid Nationwide,,british,,,children and young people,,,,,1,,ican
Save The Children Canada,,british,,,children and young people,,,,,1,,stcc
The Queens Trust,,british,,,children and young people,,,,,1,,tqt
Norfolk Wildlife Trust,,british,,,environment,,,,,1,,nwt
Royal Forestry Society,,british,,,environment,,,,,1,,rfs
The Shikar Club,,british,,,environment,,,,,1,,tsc
Fauna and Flora International,,british,,,environment,,,,,1,,ffi
IACR Rothamsted,,british,,,agriculture,,,,,1,,iacr
Royal Windsor Rose and Horticultural Society,,british,,,agriculture,,,,,1,,rwrahs
The Highland Cattle Society,,british,,,agriculture,,,,,1,,thcs
The Royal Agricultural Society of England,,british,,,agriculture,,,,,1,,trasoe
Friends of the Elderly,,british,,,elderly and retired people,,,,,1,,fote
Church Schoolmasters and Schoolmistresses Benevolent Institution,,british,,,elderly and retired people,,,,anglican,1,,csasbi
Haig Housing,,british,,,elderly and retired people,,,,,1,,hh
Suttons Hospital in Charterhouse,,british,,,elderly and retired people,,,,,1,,shic
Cumberland Lodge,,british,,,education,,,,,1,,cl
Kings College London,,british,,,education,,,,,1,,kcl
Royal Air Force College Cranwell,,british,,,education,,,,,1,,rafcc
The Association of Commonwealth Universities,,british,,,education,,,,,1,,taocu
Family Action,,british,,,community and civic,,,,,1,,fac
Mothers Union,,british,,,community and civic,,,,,1,,mu
Newspaper Press Fund,,british,,,community and civic,,,,,1,,npf
Royal Humane Society,,british,,,community and civic,,,,,1,,rhs
Prince Charles,male ,british,,1,armed services ,,,,anglican,0,british,PC
1st The Queens Dragoon Guards,,british,,,armed services ,,,,,1,,qdg
